#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:01:06.135548043Z,837,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:06:30.652046627Z,834,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:11:55.456254708Z,830,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:17:20.332066316Z,845,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:22:45.131728251Z,831,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:28:09.704134588Z,829,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:33:34.122827382Z,823,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:38:58.523912754Z,802,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:44:23.372116994Z,812,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:49:47.582182302Z,825,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:55:12.455639491Z,826,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:00:37.605877073Z,817,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:06:02.066503189Z,818,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:11:26.854556404Z,818,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:16:51.423614875Z,821,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:22:16.363928716Z,803,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:27:41.15404958Z,805,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:33:05.791931014Z,799,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:38:30.463601873Z,799,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:43:54.900124906Z,819,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:49:20.016166535Z,804,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T04:54:44.923386973Z,807,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:00:09.530220487Z,797,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:05:34.170020645Z,795,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:10:58.958747944Z,788,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:16:23.59462444Z,791,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:21:47.990162537Z,799,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:27:12.550971063Z,789,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:32:37.442999339Z,793,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:38:02.266088836Z,787,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:43:26.829598767Z,787,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:48:51.497142865Z,790,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:54:15.945518642Z,792,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T05:59:40.749865764Z,776,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T06:05:04.837279132Z,773,CO2,monitor_task,ESP32-5,urbino,Turing
